Industry;Company;.well-known/security.txt URL;security.txt present;Expires field present;RFC 9116 compliant;Contact email present;VDP present;Safe Harbor present;Scope defined;Bug bounty mentioned;Bug bounty program
Utilities / Energy;Axpo Group;https://www.axpo.com/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;not declared
Utilities / Energy;BKW Energy;https://www.bkw.ch/.well-known/security.txt;Yes;Yes;No;No;No;No;No;No;not declared
Utilities / Energy;Alpiq;https://www.alpiq.com/.well-known/security.txt;No;No;No;No;No;No;No;No;No
Utilities / Energy;Repower;https://www.repower.com/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
Utilities / Energy;EKZ;https://www.ekz.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
Utilities / Energy;EWL (Luzern);https://www.ewl-luzern.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
Utilities / Energy;EBL (Elektra Baselland);https://www.ebl.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Compass Security Managed Bug Bounty
Utilities / Energy;WWZ;https://www.wwz.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
;;;;;;;;;;;
Finance / Banking;UBS;https://www.ubs.com/.well-known/security.txt;Yes;No;No;Yes;No;No;No;No;No
Finance / Banking;Julius Baer;https://www.juliusbaer.com/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;Yes;No
Finance / Banking;Raiffeisen Switzerland;https://www.raiffeisen.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;GObugfree
Finance / Banking;Zürcher Kantonalbank;https://www.zkb.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;ZKB Bug Bounty Program (Zürcher Kantonalbank)
Finance / Banking;Zuger Kantonalbank;https://www.zugerkb.ch/.well-known/security.txt;No;No;No;No;No;No;No;No;No
Finance / Banking;PostFinance;https://www.postfinance.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
Finance / Banking;Swissquote;https://www.swissquote.com/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
Finance / Banking;TWINT;https://www.twint.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
;;;;;;;;;;;
Telecommunications;Swisscom;https://www.swisscom.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Swisscom Bug Bounty Programme (GitHub)
Telecommunications;Sunrise;https://www.sunrise.ch/.well-known/security.txt;Yes;No;No;Yes;No;No;No;No;No
Telecommunications;Salt;https://www.salt.ch/.well-known/security.txt;No;No;No;No;No;No;No;No;No
Telecommunications;Init7;https://www.init7.net/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
Telecommunications;Quickline;https://www.quickline.ch/.well-known/security.txt;No;No;No;No;No;No;No;No;No
Telecommunications;iWay;https://www.iway.ch/.well-known/security.txt;Yes;No;No;Yes;No;No;No;No;No
Telecommunications;Green;https://www.green.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No
Telecommunications;WWZ;https://www.wwz.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
;;;;;;;;;;;
Retail / E-commerce;Migros;https://www.migros.ch/.well-known/security.txt;Yes;Yes;Yes;No;No;No;No;No;No
Retail / E-commerce;Coop;https://www.coop.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;YesWeHack private bug bounty program
Retail / E-commerce;Galaxus Digitec;https://www.galaxus.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
Retail / E-commerce;ALDI SUISSE;https://www.aldi-suisse.ch/.well-known/security.txt;No;No;No;No;No;No;No;No;No
Retail / E-commerce;lidl.ch;https://www.lidl.ch/.well-known/security.txt;No;No;No;No;No;No;No;No;No
Retail / E-commerce;Brack;https://www.brack.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
Retail / E-commerce;Manor;https://www.manor.ch/.well-known/security.txt;No;No;No;No;No;No;No;No;No
Retail / E-commerce;volg.ch;https://www.volg.ch/.well-known/security.txt;No;No;No;No;No;No;No;No;No
;;;;;;;;;;;
Goverment / Public Sector;admin.ch;https://www.admin.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Bug Bounty Program of the Federal Administration (NCSC)
Goverment / Public Sector;zh.ch;https://www.zh.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No
Goverment / Public Sector;zg.ch;https://www.zg.ch/.well-known/security.txt;No;No;No;No;No;No;No;No;No
Goverment / Public Sector;stadt-zuerich.ch;https://www.stadt-zuerich.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
Goverment / Public Sector;ethz.ch;https://www.ethz.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;No;No;No;No
Goverment / Public Sector;epfl.ch;https://www.epfl.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;No;No;No;No;No
Goverment / Public Sector;post.ch;https://www.post.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No
Goverment / Public Sector;SBB;https://www.sbb.ch/.well-known/security.txt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Intigriti

